MGI:MGI:1935169	Pcdhgb1
MGI:MGI:99578	Drd1
MGI:MGI:1344353	Katna1
MGI:MGI:1344351	Dlg2
MGI:MGI:2682003	Whrn
MGI:MGI:1918959	Syde1
MGI:MGI:1932374	Cacng7
MGI:MGI:99478	Cckar
MGI:MGI:99438	Opn1sw
MGI:MGI:99418	Itpr2
MGI:MGI:2140175	Ldlrap1
MGI:MGI:96112	Hmbs
MGI:MGI:107996	Slc8a2
MGI:MGI:107979	Kif3c
MGI:MGI:107978	Klc1
MGI:MGI:107976	Slc8a3
MGI:MGI:107956	Slc8a1
MGI:MGI:2150309	Dscaml1
MGI:MGI:96083	Nrg1
MGI:MGI:96067	Htt
MGI:MGI:3039572	Smim31
MGI:MGI:1915816	Caly
MGI:MGI:107384	Dnm1
MGI:MGI:107363	Stxbp1
MGI:MGI:1334462	Copa
MGI:MGI:99894	Hnrnpk
MGI:MGI:2385271	Blvrb
MGI:MGI:2671987	Shank2
MGI:MGI:97828	Pygb
MGI:MGI:107689	Kif3a
MGI:MGI:107688	Kif3b
MGI:MGI:107671	Gpm6a
MGI:MGI:107653	Atp5g1
MGI:MGI:107636	Scn9a
MGI:MGI:2180784	Rac3
MGI:MGI:96666	Kcnb1
MGI:MGI:2151253	Calca
MGI:MGI:99402	Adora2a
MGI:MGI:99401	Adora1
MGI:MGI:99400	Atp7a
MGI:MGI:1918898	Optn
MGI:MGI:105384	Hspa8
MGI:MGI:105373	Ptch1
MGI:MGI:105371	Spock1
MGI:MGI:105308	Pnoc
MGI:MGI:88436	Cnga1
MGI:MGI:88423	Clu
MGI:MGI:2446526	Cpt1c
