ccnd2	hnrnpa2b1	hsp90ab1	h2afv	rimbp3	nasp	serbp1	marcks	cenpe	calm1	
mt-nd1	snhg11	sepw1	mt-nd4	mt-cytb	cxcl14	npy	rtn1	ly6h	pcsk1n	
mt-nd1	pdpk1	rtn1	mt-nd4	snhg11	nnat	sepw1	tmsb4x	arpp21	actb	
mt-nd1	sst	mt-cytb	npy	stmn3	snhg11	ly6h	atp1b1	mt-nd4	rtn1	
ptprz1	fabp7	olig1	rps14	actb	cspg5	cox8a	cd81	cenpf	kif20b	
fnbp1l	tmsb4x	rplp1	mt-cytb	eid1	sox11	rpl8	draxin	s100a16	sox4	
mt-nd1	rtn1	dnajb11	mt-cytb	mt-nd4	stmn3	sst	cxcl14	npy	stmn2	
dbi	chchd10	mt3	mt-nd1	hbb-bs	pcp4	mt1	fth1	mt-cytb	arpp21	
hsp90ab1	utp6	hnrnpa2b1	ncl	serbp1	ccnd2	nasp	dek	marcks	anp32a	
fabp7	vim	mt-nd5	cenpf	mt-nd2	h1fx	psmb2	rplp1	hnrnpa2b1	hmgn3	
tubb5	tuba1a	tyw1	tubb2b	tubb3	nnat	sox4	h3f3b	tmsb4x	rps5	
mt-nd1	actb	mt-nd4	snhg11	mt-cytb	arpp21	npy	ncam1	atp2b1	tmsb4x	
dimt1	hsp90ab1	ncl	serbp1	hnrnpa2b1	nasp	dek	ccnd2	pabpc1	anp32a	
