tmsb4x	rtn1	mt-nd1	stmn2	tmsb10	fabp7	apoe	ptn	pcsk1n	cst3	
hsp90ab1	ncl	hnrnpa2b1	serbp1	nasp	marcks	top2a	dek	ezh2	ccnd2	
mt-nd1	tmsb4x	cxcl14	snhg11	cck	mt-cytb	mt-nd4	vip	ly6h	apoe	
rtn1	snhg11	stmn2	ly6h	nnat	ndufc2	foxp1	ntng1	gad2	cox4i1	
fabp7	dbi	ptn	tmsb4x	h3f3b	rps3	ywhae	ckb	stmn2	eif1b	
fabp7	marcks	mki67	mt-nd5	dbi	incenp	hnrnpa2b1	vezf1	fkbp3	ccnd2	
mt-nd1	plp1	mt-cytb	sirt2	cldn11	mt-nd4	cnp	snhg11	cd81	rtn1	
mt-nd1	hsp90ab1	ccnd2	marcks	snhg11	serbp1	ncl	hnrnpa2b1	nasp	hnrnpm	
mt-nd1	rtn1	mt-cytb	mt-nd4	snhg11	tmsb4x	cxcl14	stmn3	sepw1	ly6h	
mt-nd1	actb	tmsb4x	mt-cytb	mt-nd4	arpp21	snhg11	pcp4	atp2b1	sepw1	
apoe	tmsb4x	sepp1	tyrobp	lyz2	ctsb	itm2b	c1qa	b2m	cst3	
tubb5	tuba1a	nnat	tubb3	sox4	tubb2b	sox11	rps5	h3f3b	prdx2	
mt-nd1	mt-cytb	rtn1	foxp1	mt-nd4	gap43	tubb2b	stmn2	bcl11b	tuba1a	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	atp2b1	pcp4	actb	rtn1	ly6h	
hsp90ab1	hnrnpa2b1	ncl	serbp1	top2a	marcks	ccnd2	ezh2	nasp	hnrnpab	
tmsb10	tmsb4x	mt-nd1	rtn1	nnat	sepw1	stmn2	mllt11	mt-cytb	mt-nd4	
actb	mt-nd1	mt-nd4	cox4i1	ncam1	meis2	mllt11	sepw1	mt-cytb	rtn1	
mt-nd1	actb	snhg11	atp2b1	arpp21	ccnd2	pcp4	reln	calm1	hbb-bs	
tmsb4x	cst3	apoe	actb	hsp90ab1	cpa3	pabpc1	hexb	rplp1	ctsb	
mt-nd1	bsg	cst3	tac1	calm1	tsc22d1	mt-nd4	itm2a	mt-nd2	igfbp7	
mt-nd1	npy	mt-cytb	mt-nd4	snhg11	ly6h	cxcl14	plp1	sepw1	atp1b1	
mt-nd1	mt-cytb	rtn1	mt-nd4	snhg11	stmn2	cxcl14	stmn3	tuba1a	ly6h	
apoe	tmsb4x	actb	cst3	pabpc1	serbp1	ctsb	hspa5	rplp1	ctsd	
tmsb4x	cst3	mt-nd1	nrgn	arpp21	hexb	jun	ppp1r1b	p2ry12	c1qa	
apoe	tmsb4x	rgs5	actb	cst3	bsg	sparc	calm1	gnas	sept7	
tmsb4x	cst3	apoe	hexb	lgmn	itm2b	ctsd	c1qa	c1qb	pfn1	
tuba1a	tubb5	nnat	tubb2b	tmsb10	tubb3	tmsb4x	rps5	rps14	rpl13a	
nnat	hsp90ab1	sox11	tuba1a	tubb5	sox4	hnrnpa2b1	ccnd2	marcks	serbp1	
actb	ptn	mt-cytb	cxcl14	pcp4	snhg11	calm1	ncam1	hsbp1	hmgn3	
nnat	tuba1a	tubb5	sox4	tubb2b	tubb3	h3f3b	meis2	tmsb10	rps14	
fabp7	jun	ncl	pnn	ptn	hsp90ab1	pou3f3	dbi	bzw1	pdap1	
rgs5	actb	gnas	sept7	cald1	igfbp7	jun	fos	uaca	fosb	
hsp90ab1	hnrnpa2b1	ncl	ccnd2	serbp1	marcks	top2a	nasp	ezh2	anp32a	
tuba1a	nnat	serbp1	jun	map1b	sox4	h3f3b	tubb2b	gnas	akap9	
cxcl14	mt-nd1	tmsb4x	sepw1	tmsb10	tcf4	rtn1	snhg11	mllt11	stmn2	
mt-nd1	cxcl14	sepw1	snhg11	rtn1	tmsb10	pcsk1n	mllt11	ly6h	gng3	
mt-nd1	mt-cytb	snhg11	mt-nd4	rtn1	stmn3	atp1b1	stmn2	ly6h	pcsk1n	
hsp90ab1	ccnd2	nasp	dek	ncl	serbp1	hnrnpa2b1	ezh2	top2a	fkbp3	
actb	ptn	h2afv	fabp7	gnas	rps5	rpl14	smc6	rpl4	rps14	
sox11	nnat	tuba1a	sox4	hsp90ab1	hnrnpa2b1	tubb5	nrep	marcks	ccnd2	
mt-nd1	tmsb4x	sepw1	cxcl14	snhg11	tmsb10	mllt11	rtn1	mt-nd4	cck	
hsp90ab1	ncl	fabp7	ccnd2	serbp1	nasp	dbi	hnrnpa2b1	top2a	marcks	
ccnd2	hsp90ab1	nasp	hnrnpa2b1	serbp1	ncl	ezh2	dek	marcks	anp32a	
ptms	hsp90ab1	atrx	hsp90b1	fnbp1l	tra2a	ppig	nap1l4	jun	nasp	
ccnd2	sox4	tubb5	sst	actb	h3f3b	atp5b	meis2	cfl1	etf1	
cst3	apoe	ptn	actb	mt-nd5	cpe	dbi	sparc	smc4	ezh2	
ccnd2	tubb5	plp1	h3f3b	sox4	h2afv	pfn2	dlx2	cck	cnp	
nnat	tuba1a	tubb5	sox4	tubb2b	sox11	tubb3	fabp7	h3f3b	marcksl1	
fabp7	dbi	sst	ptn	actb	ccnd2	calm1	cst3	npy	dek	
mt-nd1	rtn1	mt-cytb	mt-nd4	cxcl14	snhg11	nnat	stmn3	stmn2	sepw1	
actb	hnrnpa2b1	ncl	ncam1	ezh2	sparc	mest	baz1b	calm1	eif3a	
hsp90ab1	actb	ube2k	psma2	ybx1	anp32b	serbp1	psma7	cox6a1	tubb5	
hsp90ab1	hnrnpa2b1	serbp1	mt-nd5	ncl	top2a	sox11	marcks	fnbp1l	anp32a	
nnat	hsp90ab1	cst3	fabp7	dbi	serbp1	mt-nd5	myt1l	apoe	cox6c	
