fabp7	mt-nd1	cxcl14	cspg5	pcsk1n	cd81	sst	olig1	atp6v0a4	ptn	
fabp7	hsp90ab1	bbx	ccnd2	dbi	top2a	ncl	dek	serbp1	hnrnpa2b1	
hsp90ab1	fabp7	hirip3	dbi	serbp1	nnat	pabpc1	srrm1	hnrnpc	ttc3	
npy	sst	mt-nd1	plp1	mt-cytb	hhip	mt-nd4	snhg11	ncam1	sirt2	
hsp90ab1	top1	tcf4	rpl32	gnas	rps3	gnb2l1	mt-nd2	ccnd2	dlx1	
mt-nd1	marc2	fabp7	rtn1	mt-nd4	dbi	tmsb4x	cst3	rps5	mt-cytb	
nnat	rtn1	map1b	rbm25	slc25a4	ptprz1	sox11	mt-nd5	ncam1	cwc25	
tmsb4x	fabp7	pabpc1	hes1	six3	anp32a	sox4	gnb2l1	smc4	serbp1	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	atp1b1	stmn3	ly6h	cxcl14	pcsk1n	
hsp90ab1	hnrnpa2b1	ncl	serbp1	ccnd2	nasp	dek	marcks	top2a	pabpc1	
marcks	dbi	h2afv	anp32e	top2a	hnrnpa2b1	hsp90ab1	akap9	eif3a	hnrnpd	
hsp90ab1	serbp1	ncl	dek	hnrnpd	nasp	cyct	dbi	fkbp3	hspa5	
mt-nd1	1810055g02rik	rtn1	mt-nd4	mt-cytb	cxcl14	stmn3	tubb2b	stmn2	sepw1	
mt-nd1	mt-cytb	mt-nd4	snhg11	atp2b1	rtn1	arpp21	ly6h	pcp4	pcsk1n	
mt-nd1	rtn1	mt-cytb	mt-nd4	tmsb4x	snhg11	stmn3	stmn2	mfsd11	ly6h	
gadd45g	ccnd2	gsx1	hsp90ab1	ckb	h2afv	gnb2l1	nasp	calm1	rps5	
mt-nd1	mt-cytb	mt-nd4	snhg11	tmsb4x	rtn1	sepw1	actb	pcsk1n	ly6h	
mt-cytb	mt-nd1	insl5	snhg11	jun	atp2b1	fkbp3	arpp21	kif1b	top2a	
fabp7	ptn	dbi	cst3	hsp90ab1	vim	ncl	serbp1	npy	ptprz1	
ptms	mt-nd5	serbp1	nedd4	hsp90ab1	ebf1	pdap1	sox11	nop58	rpl4	
hsp90ab1	fabp7	ccnd2	hnrnpa2b1	ncl	serbp1	nasp	dbi	top2a	marcks	
actb	pabpc1	sox4	sst	ube2c	sox11	tmsb4x	dek	mki67	tuba1b	
mt-nd1	rtn1	mt-cytb	tmsb4x	mt-nd4	nnat	stmn2	pcdhb6	tubb2b	tmsb10	
tuba1a	nnat	tubb2b	tmsb4x	tubb5	tubb3	tmsb10	rtn1	stmn2	map1b	
hnrnpa2b1	hnrnpc	marcks	serbp1	dek	ezh2	cdk11b	top2a	hsp90ab1	hnrnpab	
mt-nd1	fabp7	dbi	mcee	tmsb4x	snhg11	actb	mt-nd4	npy	arpp21	
hsp90ab1	fam199x	ncl	serbp1	hnrnpa2b1	top2a	dek	pabpc1	marcks	nasp	
mt-nd1	snhg11	agbl3	sepw1	mt-nd4	npy	mt-cytb	pcp4	arpp21	tmsb4x	
nnat	gap43	syne2	nr2f1	ncl	ckap5	map9	canx	hsp90ab1	ptms	
mt-nd1	tmem203	mt-nd4	mt-cytb	snhg11	rtn1	arpp21	plp1	tmsb4x	ly6h	
ccnd2	h2afv	top2a	hist2h2be	smc4	dbi	fabp7	ube2c	hsp90ab1	cenpf	
mt-nd1	mt-cytb	rtn1	mt-nd4	snhg11	stmn3	cdipt	ly6h	pcsk1n	npy	
mt-nd1	npy	snhg11	mt-cytb	mt-nd4	sepw1	rtn1	cxcl14	ly6h	atp1b1	
nudt3	actb	sox11	tuba1a	nnat	sox4	tmsb10	tubb5	ptms	basp1	
arl6ip1	dbi	h2afv	hnrnpa2b1	ccnd2	cenpf	ube2c	top2a	hsp90ab1	marcks	
mt-nd1	fabp7	ncl	bsg	hnrnpd	cst3	cxcl14	dlx1	hnrnpa2b1	mt-nd2	
fabp7	bsg	dbi	calm1	reln	tcf4	tmsb4x	eef1b2	sparc	actb	
ccdc89	nnat	ncl	fabp7	dek	top2a	gnas	hnrnpm	h1f0	hnrnpa2b1	
npy	tmsb4x	mt-nd1	sst	snhg11	sepw1	cdkn1a	rtn1	ly6h	calm1	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	atp2b1	dennd4a	pcp4	ly6h	npy	
mt-nd1	actb	mt-cytb	cxcl14	snhg11	mt-nd4	arpp21	sepw1	pcp4	atp2b1	
fabp7	snhg11	sepw1	gnb2l1	cxcl14	vim	ncl	dek	cnr1	rbp1	
mt-nd1	mt-cytb	cxcl14	pcsk1n	stmn3	atp1b1	mt-nd4	kcnh5	ly6h	snhg11	
tarsl2	ncl	hsp90ab1	hnrnpa2b1	mt-cytb	mt-nd5	mt-nd2	ezh2	serbp1	dek	
tubb5	tuba1a	nnat	tubb2b	tubb3	sox4	dcakd	sox11	h3f3b	tmsb4x	
mt-nd1	rtn1	tuba1a	mt-cytb	tubb2b	foxp1	gap43	mt-nd4	tmsb10	tmsb4x	
mt-nd1	cxcl14	snhg11	mt-cytb	mt-nd4	sepw1	cck	rtn1	vip	npy	
mt-nd1	snhg11	mt-nd4	cxcl14	rtn1	mt-cytb	sepw1	cck	pcsk1n	atp2b1	
tuba1a	arl3	nnat	tubb2b	tubb5	tmsb4x	tubb3	tmsb10	rps14	sox4	
mt-nd1	snhg11	mt-cytb	mt-nd4	cxcl14	sepw1	rtn1	atp2b1	ly6h	arpp21	
mt-nd1	hnrnpa2b1	snhg11	atp2b1	srrm2	mbtd1	runx1t1	arid4a	gnal	epha4	
ttr	ptn	dbi	apoe	mt-nd1	cst3	actb	mt-cytb	mt3	mt1	
hsp90ab1	hnrnpa2b1	ccnd2	brpf1	ncl	nasp	marcks	top2a	serbp1	dek	
ptn	hsp90ab1	ncl	smc4	hnrnpa2b1	cenpf	rgs5	gnas	fabp7	rbm25	
mt-nd1	mt-nd5	pcsk1n	sst	snhg11	sfn	mt-nd2	top2b	hnrnpa2b1	ptms	
apoe	tmsb4x	sepp1	rpl13a	tyrobp	c1qa	ctsb	cst3	lyz2	rps5	
gap43	stmn2	nnat	mpc2	ptms	map1b	tuba1a	mt-nd4	uqcrq	mllt11	
foxp1	ptms	tuba1a	igfbpl1	bcl11b	nefm	map1b	tubb2b	ina	stmn2	
fabp7	ctdsp2	hsp90ab1	ccnd2	dbi	ncl	hnrnpa2b1	top2a	marcks	serbp1	
tuba1a	nnat	tubb2b	tubb5	tubb3	tmsb4x	sox4	sox11	tmsb10	rtn1	
mt-nd1	mt-cytb	snhg11	mt-nd4	rtn1	sepw1	cxcl14	tmsb4x	ly6h	pcsk1n	
tars2	hsp90ab1	ncl	dbi	serbp1	fabp7	gnb2l1	pabpc1	marcks	dek	
ccnd2	hnrnpl	fkbp3	hsp90ab1	rps9	mt-nd2	mt-nd5	cdk4	top2a	ran	
tuba1a	nnat	tubb5	tubb3	tubb2b	sox4	mmaa	sox11	h3f3b	map1b	
mt-nd1	snhg11	mt-cytb	mt-nd4	cck	npy	ly6h	cst3	rtn1	pcsk1n	
tmsb4x	actb	bsg	sparc	calm1	igfbp7	slc38a5	mt-nd1	sepp1	mt-cytb	
cst3	apoe	mt-nd1	bsg	ptn	actb	tmsb4x	dbi	rgs5	fabp7	
ncl	top2a	hsp90ab1	ccnd2	dek	fkbp3	hnrnpa2b1	serbp1	anp32b	nasp	
tuba1a	tubb5	nnat	tubb2b	tubb3	sox4	zbtb25	h3f3b	tmsb4x	rps5	
mt-nd1	mt-cytb	mt-nd4	apoe	man2b1	snhg11	cst3	atp1b1	ly6h	rtn1	
arih2	hnrnpa2b1	hsp90ab1	ccnd2	ncl	top2a	sox11	dek	serbp1	nasp	
wdyhv1	nnat	hsp90ab1	tuba1a	hnrnpa2b1	nasp	fabp7	tubb5	serbp1	dek	
hsp90ab1	hnrnpa2b1	top2a	ncl	ccnd2	anp32a	hnrnpab	serbp1	ezh2	dek	
ccnyl1	hsp90ab1	ncl	top2a	calm1	marcks	mt-nd1	dbi	hnrnpa2b1	ccnd2	
plp1	mobp	cldn11	cnp	calm1	hsp90ab1	cd81	reep5	sirt2	ncl	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	atp1b1	cxcl14	stmn3	stmn2	ly6h	
cst3	mt-nd1	cxcl14	plp1	tmsb4x	sepw1	apoe	arhgef19	cck	cd81	
mt-nd1	mt-cytb	mt-nd4	tmsb4x	carns1	atp2b1	pcp4	arpp21	snhg11	ly6h	
hsp90ab1	ncl	meis2	basp1	rpp21	naa35	gtf3c6	vps39	utp6	smc1a	
ccnd2	pcbd1	dbi	fabp7	cxcl14	h2afv	mt-nd1	calm1	ranbp1	vim	
mt-nd1	mt-cytb	rtn1	mt-nd4	pcdha5	tmsb10	stmn2	nsg1	ly6h	gap43	
mt-nd1	actb	arpp21	mt-cytb	snhg11	sepw1	mt-nd4	pcp4	atp2b1	calm1	
tmsb4x	cst3	apoe	actb	tyrobp	hexb	ctsd	ctsb	sepp1	mt-nd1	
mt-nd1	npy	snhg11	mt-cytb	mt-nd4	cxcl14	rtn1	pcsk1n	sepw1	ly6h	
mt-nd1	mt-cytb	mt-nd4	snhg11	npy	arpp21	tmsb4x	pcp4	sepw1	atp2b1	
ccnd2	sox4	sox11	ptma	pak3	dlx1	marcks	smc4	top2a	zbtb20	
rgs5	actb	cald1	hsp90ab1	sept7	igf2	gnas	igfbp7	ncl	uaca	
fabp7	dbi	scd2	ptn	u2surp	jun	zbtb20	abcd3	cnn3	ran	
